Date,Year,Quarter,Month,Day
6/12/2013,2013,2,Jun,Wed
6/13/2013,2013,2,Jun,Thu
6/14/2013,2013,2,Jun,Fri
6/15/2013,2013,2,Jun,Sat
6/16/2013,2013,2,Jun,Sun
6/17/2013,2013,2,Jun,Mon
6/18/2013,2013,2,Jun,Tue
6/19/2013,2013,2,Jun,Wed
6/20/2013,2013,2,Jun,Thu
6/21/2013,2013,2,Jun,Fri
6/22/2013,2013,2,Jun,Sat
6/23/2013,2013,2,Jun,Sun
6/24/2013,2013,2,Jun,Mon
6/25/2013,2013,2,Jun,Tue
6/26/2013,2013,2,Jun,Wed
6/27/2013,2013,2,Jun,Thu
6/28/2013,2013,2,Jun,Fri
6/29/2013,2013,2,Jun,Sat
6/30/2013,2013,2,Jun,Sun
7/1/2013,2013,3,Jul,Mon
7/2/2013,2013,3,Jul,Tue
7/3/2013,2013,3,Jul,Wed
7/4/2013,2013,3,Jul,Thu
7/5/2013,2013,3,Jul,Fri
7/6/2013,2013,3,Jul,Sat
7/7/2013,2013,3,Jul,Sun
7/8/2013,2013,3,Jul,Mon
7/9/2013,2013,3,Jul,Tue
7/10/2013,2013,3,Jul,Wed
7/11/2013,2013,3,Jul,Thu
7/12/2013,2013,3,Jul,Fri
7/13/2013,2013,3,Jul,Sat
7/14/2013,2013,3,Jul,Sun
7/15/2013,2013,3,Jul,Mon
7/16/2013,2013,3,Jul,Tue
7/17/2013,2013,3,Jul,Wed
7/18/2013,2013,3,Jul,Thu
7/19/2013,2013,3,Jul,Fri
7/20/2013,2013,3,Jul,Sat
7/21/2013,2013,3,Jul,Sun
7/22/2013,2013,3,Jul,Mon
7/23/2013,2013,3,Jul,Tue
7/24/2013,2013,3,Jul,Wed
7/25/2013,2013,3,Jul,Thu
7/26/2013,2013,3,Jul,Fri
7/27/2013,2013,3,Jul,Sat
7/28/2013,2013,3,Jul,Sun
7/29/2013,2013,3,Jul,Mon
7/30/2013,2013,3,Jul,Tue
7/31/2013,2013,3,Jul,Wed
8/1/2013,2013,3,Aug,Thu
8/2/2013,2013,3,Aug,Fri
8/3/2013,2013,3,Aug,Sat
8/4/2013,2013,3,Aug,Sun
8/5/2013,2013,3,Aug,Mon
8/6/2013,2013,3,Aug,Tue
8/7/2013,2013,3,Aug,Wed
8/8/2013,2013,3,Aug,Thu
8/9/2013,2013,3,Aug,Fri
8/10/2013,2013,3,Aug,Sat
8/11/2013,2013,3,Aug,Sun
8/12/2013,2013,3,Aug,Mon
8/13/2013,2013,3,Aug,Tue
8/14/2013,2013,3,Aug,Wed
8/15/2013,2013,3,Aug,Thu
8/16/2013,2013,3,Aug,Fri
8/17/2013,2013,3,Aug,Sat
8/18/2013,2013,3,Aug,Sun
8/19/2013,2013,3,Aug,Mon
8/20/2013,2013,3,Aug,Tue
8/21/2013,2013,3,Aug,Wed
8/22/2013,2013,3,Aug,Thu
8/23/2013,2013,3,Aug,Fri
8/24/2013,2013,3,Aug,Sat
8/25/2013,2013,3,Aug,Sun
8/26/2013,2013,3,Aug,Mon
8/27/2013,2013,3,Aug,Tue
8/28/2013,2013,3,Aug,Wed
8/29/2013,2013,3,Aug,Thu
8/30/2013,2013,3,Aug,Fri
8/31/2013,2013,3,Aug,Sat
9/1/2013,2013,3,Sep,Sun
9/2/2013,2013,3,Sep,Mon
9/3/2013,2013,3,Sep,Tue
9/4/2013,2013,3,Sep,Wed
9/5/2013,2013,3,Sep,Thu
9/6/2013,2013,3,Sep,Fri
9/7/2013,2013,3,Sep,Sat
9/8/2013,2013,3,Sep,Sun
9/9/2013,2013,3,Sep,Mon
9/10/2013,2013,3,Sep,Tue
9/11/2013,2013,3,Sep,Wed
9/12/2013,2013,3,Sep,Thu
9/13/2013,2013,3,Sep,Fri
9/14/2013,2013,3,Sep,Sat
9/15/2013,2013,3,Sep,Sun
9/16/2013,2013,3,Sep,Mon
9/17/2013,2013,3,Sep,Tue
9/18/2013,2013,3,Sep,Wed
9/19/2013,2013,3,Sep,Thu
9/20/2013,2013,3,Sep,Fri
9/21/2013,2013,3,Sep,Sat
9/22/2013,2013,3,Sep,Sun
9/23/2013,2013,3,Sep,Mon
9/24/2013,2013,3,Sep,Tue
9/25/2013,2013,3,Sep,Wed
9/26/2013,2013,3,Sep,Thu
